# id,x,y,weight,priority,time_start,time_end
1,48,80,1.0,5,09:08,10:08
2,23,26,0.7,4,09:14,10:14
3,43,60,4.6,3,09:21,10:21
4,14,19,1.0,4,09:49,10:49
5,57,19,2.3,2,09:10,10:10
6,69,20,2.0,3,09:05,10:05
7,35,52,2.8,3,09:47,10:47
8,12,51,3.7,5,09:22,10:22
9,58,74,0.8,5,09:37,10:37
10,14,86,1.0,2,09:59,10:59
11,23,77,1.1,2,09:28,10:28
12,60,53,2.5,2,09:02,10:02
13,5,2,4.2,1,09:09,10:09
14,84,4,2.9,1,09:50,10:50
15,53,27,1.3,2,09:35,10:35
16,78,78,2.7,1,09:20,10:20
17,10,29,2.2,5,09:01,10:01
18,48,78,0.6,4,09:10,10:10
19,5,78,3.1,2,09:27,10:27
20,8,29,1.4,3,09:50,10:50
21,91,26,1.6,5,09:50,10:50
22,40,11,0.7,2,09:18,10:18
23,3,31,1.3,3,09:15,10:15
24,2,8,1.2,4,10:00,11:00
25,37,27,1.9,2,09:21,10:21
26,97,1,3.0,3,09:58,10:58
27,20,27,5.0,4,09:42,10:42
28,90,29,3.7,3,09:38,10:38
29,78,86,2.4,4,09:50,10:50
30,89,59,1.1,1,09:25,10:25
31,16,68,2.8,1,09:04,10:04
32,80,48,3.1,2,09:32,10:32
